Id,Name,Longitude,Latitude
315,PORT RIVER EXP  PERKINS DR,138.514881589571,-34.8409621634823
316,GREENHILL ROAD - SIR LEWIS COHEN AVE,138.594850432351,-34.9416256293409
317,MOUNT BARKER STRATHALBYN ROAD -EXIT RAMP,138.852224122927,-35.0573477742503
318,PHILIP HIGHWAY - HOGARTH ROAD,138.658831448675,-34.7381174921647
319,PHILIP HIGHWAY - ELIZABETH WAY,138.669211197338,-34.7216114953579
320,PORT RIVER EXP  NELSON ST,138.502945243242,-34.8379500586983
321,SALISBURY HIGHWAY - GAWLER STREET,138.64425337189,-34.7584538497586
322,KINGS ROAD - CROSS KEYS ROAD RN,138.636701748244,-34.7853887379387
323,SOUTH ROAD - CORMACK ROAD,138.564064149457,-34.8405513176653
325,GRAND JUNCTION ROAD -NELSON ROAD,138.663036833791,-34.8453248947565
326,SIR DONALD BRADMAN DR -BURBRIDGE BUSINESS ACCESS ROAD,138.527834733735,-34.9338070798033
328,PROSPECT ROAD & STAPLES COURT,138.593794353986,-34.884450827251
329,SMITH ROAD - GLOUCESTER AVENUE,138.667166062687,-34.7780253568233
331,ELDER SMITH ROAD -MAIN NORTH ROAD -MAXWELL ROAD,138.63157385353,-34.8091788627015
332,MOUNT BARKER STRATHALBYN ROAD -MORPHETT ST-DUMAS ST,138.85622380903,-35.0666501063962
333,GRAND JUNCTION ROAD  WINGFIELD ROAD  RICHARD ST,138.551230399973,-34.8504170939561
334,LONSDALE ROAD  - PAPTA DRIVE & LANDER AVE,138.516671065795,-35.0794070724213
336,OG ROAD - FOURTH AVENUE RN,138.635189666271,-34.8791694546769
337,TAPLEYS HILL ROAD -VALETTA ROAD-MARLBOROUGH STREET,138.513441819154,-34.9127255008577
338,FINDON ROAD - VALETTA ROAD RN,138.534167611649,-34.9134996279581
339,HOLBROOKS ROAD -BEATTY STREET-HARTLEY ROAD,138.5486251624,-34.9116287640966
340,HOLBROOKS ROAD - ASHLEY STREET RN,138.548533211206,-34.9187665503358
341,ANZAC HWY (WEST OF STH ROAD ) ON OFF RAMPS,138.571288351837,-34.953227291717
343,SOUTH ROAD - FLINDERS DRIVE RN,138.566917467282,-35.0191631063277
344,PORT WAKEFIELD ROAD - SALISBURY HWY RAMP,138.597324877223,-34.8123654793651
345,PAYNEHAM ROAD - HARROW ROAD RN,138.624768901428,-34.9132047904919
349,GLYNBURN ROAD  ARTHUR ST,138.65750681525,-34.904185569647
350,Cheltenham Pde Level Crossing,138.528752931886,-34.8699658534802
351,OLD BELAIR ROAD  - BLYTHEWOOD ROAD,138.618941395259,-34.9834062952474
352,DYSON ROAD - O SULLIVAN BEACH ROAD,138.490496139625,-35.1173141000142
353,BOWER ROAD - CAUSEWAY ROAD,138.494986554658,-34.8519844109215
