,site_no,hour_of_day,DestId,index
643,40,19,7544,390
644,40,20,7544,260
645,40,21,7544,216
646,40,22,7544,154
647,40,23,7544,76
648,41,0,3042,36
649,41,1,3042,21
650,41,2,3042,27
651,41,3,3042,35
652,41,4,3042,33
653,41,5,3042,198
654,41,6,3042,494
655,41,7,3042,431
656,41,8,3042,489
657,41,9,3042,360
658,41,10,3042,247
659,41,11,3042,226
660,41,12,3042,258
661,41,13,3042,309
662,41,14,3042,199
663,41,15,3042,228
664,41,16,3042,228
665,41,17,3042,357
666,41,18,3042,281
667,41,19,3042,149
668,41,20,3042,92
669,41,21,3042,101
670,41,22,3042,73
671,41,23,3042,46
672,42,0,3043,26
673,42,1,3043,13
674,42,2,3043,5
675,42,3,3043,3
676,42,4,3043,3
677,42,5,3043,25
678,42,6,3043,95
679,42,7,3043,138
680,42,8,3043,278
681,42,9,3043,136
682,42,10,3043,105
683,42,11,3043,114
684,42,12,3043,118
685,42,13,3043,92
686,42,14,3043,103
687,42,15,3043,121
688,42,16,3043,143
689,42,17,3043,157
690,42,18,3043,120
691,42,19,3043,76
692,42,20,3043,40
693,42,21,3043,59
694,42,22,3043,36
695,42,23,3043,16
696,43,0,488,5
697,43,1,488,3
698,43,2,488,3
699,43,3,488,3
700,43,4,488,5
701,43,5,488,65
702,43,6,488,116
703,43,7,488,325
704,43,8,488,547
705,43,9,488,281
706,43,10,488,243
707,43,11,488,182
708,43,12,488,203
709,43,13,488,212
710,43,14,488,170
711,43,15,488,142
712,43,16,488,153
713,43,17,488,202
714,43,18,488,140
715,43,19,488,76
716,43,20,488,44
717,43,21,488,43
718,43,22,488,44
719,43,23,488,21
720,44,0,3045,32
721,44,1,3045,13
722,44,2,3045,4
723,44,3,3045,7
724,44,4,3045,17
725,44,5,3045,36
726,44,6,3045,141
727,44,7,3045,262
728,44,8,3045,386
729,44,9,3045,243
730,44,10,3045,163
731,44,11,3045,165
732,44,12,3045,164
733,44,13,3045,174
734,44,14,3045,160
735,44,15,3045,145
736,44,16,3045,174
737,44,17,3045,240
738,44,18,3045,207
739,44,19,3045,110
740,44,20,3045,75
741,44,21,3045,67
742,44,22,3045,48
743,44,23,3045,28
744,51,0,227,53
745,51,1,227,15
746,51,2,227,18
747,51,3,227,13
748,51,4,227,32
749,51,5,227,99
750,51,6,227,504
751,51,7,227,743
752,51,8,227,1406
753,51,9,227,977
754,51,10,227,654
755,51,11,227,610
756,51,12,227,678
757,51,13,227,660
758,51,14,227,651
759,51,15,227,696
760,51,16,227,726
761,51,17,227,720
762,51,18,227,652
763,51,19,227,339
764,51,20,227,271
765,51,21,227,295
766,51,22,227,157
767,51,23,227,129
768,52,0,3053,46
769,52,1,3053,17
770,52,2,3053,18
771,52,3,3053,6
772,52,4,3053,48
773,52,5,3053,108
774,52,6,3053,255
775,52,7,3053,425
776,52,8,3053,769
777,52,9,3053,600
778,52,10,3053,417
779,52,11,3053,387
780,52,12,3053,483
781,52,13,3053,429
782,52,14,3053,400
783,52,15,3053,425
