date,trans,rain,eva,max_temp,min_temp,max_humid,min_humid,wind,solar
22/05/2013,1.9,3.12,0,19.06,11.48,93,50.8,3.4,8.516
23/05/2013,2.16,2.36,0,18.36,12.46,93.2,43.4,3.85,9.29
24/05/2013,1.44,7.2,0,17.66,9.7,95.4,62.8,2.552,8.466
25/05/2013,1.34,6.56,0,17.54,10.6,94.8,57,1.706,8.482
26/05/2013,1.38,1.88,0,18.18,12.3,95.8,58.2,1.784,9.614
27/05/2013,1.58,2.16,0,17.58,11,90.2,54,2.724,9.826
28/05/2013,1.42,1.08,0,17.04,10.2,91.4,55.4,2.188,8.546
29/05/2013,1.72,0,0,18.02,10.66,90,51.4,2.654,9.086
30/05/2013,2.02,3.6,0,19.06,11.44,80.8,49.2,2.924,9.816
31/05/2013,1.4,0.92,0,17.16,10.68,94.8,50.6,2.178,7.62
1/06/2013,1.12,8.72,0,17,9.84,94.2,61.8,1.858,7.26
2/06/2013,1.5,1.56,0,18.36,8.92,94.2,50.4,2.07,9.676
3/06/2013,1.22,0.04,0,16.68,10,95.2,56.2,1.676,8.946
4/06/2013,1.22,4.52,0,16.28,9.12,96.4,58.8,1.956,9.164
5/06/2013,1.62,0,0,16.58,9.74,89.8,52.6,3.076,8.584
6/06/2013,1.34,0.8,0,16.2,8.44,89.4,53.4,2.138,8.71
7/06/2013,1.3,1.08,0,15.96,8.28,93,46.6,1.928,9.93
8/06/2013,1.28,0.32,0,15.9,6.18,93,49.4,2.05,10.084
9/06/2013,1.24,1.36,0,14.64,7.34,90.6,54.4,2.234,8.564
10/06/2013,1.38,0.36,0,16.98,6.64,92.4,49.4,2.04,9.818
11/06/2013,1.52,0.28,0,15.72,8.58,87.4,49.8,2.57,7.548
12/06/2013,1.76,1.44,0,16.46,9.48,84.4,48.6,2.944,8.408
13/06/2013,1.6,1.16,0,15,8.8,86,51.2,3.11,7.72
14/06/2013,1.38,3.36,0,15.32,6.58,92.6,50.8,2.738,9.842
15/06/2013,1.16,0.08,0,15.38,5.76,95,54.2,1.838,9.878
16/06/2013,1.58,0.08,0,16.28,7.2,92.6,51.4,3.236,8.598
17/06/2013,1.28,2.88,0,15.42,8.96,95.8,59.4,2.97,8.398
18/06/2013,1.08,1.72,0,16.4,8.3,96.8,66.6,2.17,9.258
19/06/2013,1.52,0.72,0,17.14,9.62,92.8,54.8,3.048,8.58
20/06/2013,1.66,0.36,0,17.36,9.52,95.6,54,3.66,8.258
21/06/2013,1.18,11.92,0,14.44,9.1,96.8,66,3.13,7.826
22/06/2013,1.4,8.6,0,14.94,8.78,92.8,60.2,3.55,7.188
23/06/2013,1.58,4.76,0,14.82,8.56,88.8,59.8,4.104,8.176
24/06/2013,1.62,5.68,0,17.08,9.32,92,53.4,3.512,9.28
25/06/2013,1.52,3.68,0,16.5,9.88,93,52.4,2.97,9.95
26/06/2013,1.32,0.56,0,16.1,8.24,94.6,53.2,2.338,9.204
27/06/2013,1.54,0.04,0,16.3,6.26,93.2,44.6,2.804,10.34
28/06/2013,0,4.56,0,15.52,7.42,86.8,44.6,4.112,0
29/06/2013,1.6,5,0,15.24,7.84,89.6,54,3.558,8.936
30/06/2013,1.46,4.56,0,16.12,8.56,90.6,57,2.652,8.458
1/07/2013,1.56,1.56,0,16.24,8.72,88.4,57.4,2.43,9.06
2/07/2013,1.22,1.32,0,15.26,8.3,95.4,52.8,2.084,8.064
3/07/2013,1.82,2.92,0,16.08,6.86,89,44.2,3.238,10.792
4/07/2013,1.62,0.08,0,14.98,8.34,91.2,54.8,4.048,7.78
5/07/2013,1.6,3.4,0,14.66,7.7,92,48,3.67,9.694
6/07/2013,1.24,4.24,0,15.1,6.8,95.4,55.8,2.656,8.822
7/07/2013,1.42,6.32,0,14.9,6.58,93,51.6,2.396,9.53
8/07/2013,1.7,0.52,0,16.42,6.48,92.4,44.2,2.772,8.256
9/07/2013,1.52,3.24,0,14.34,6.66,91.8,52.6,3.436,7.74
10/07/2013,1.64,5.48,0,15.22,8.54,94,52.2,3.934,9.182
11/07/2013,1.54,0.44,0,16.08,8.24,90.2,50.6,2.842,8.85
12/07/2013,1.5,0.76,0,15.3,7.74,89.4,51.4,2.57,8.22
13/07/2013,1.54,5.24,0,15.7,9.86,90.8,56.8,3.158,8.366
14/07/2013,1.46,4.24,0,14.48,8.7,90,57,3.332,9.49
15/07/2013,1.3,1.96,0,15.12,8.76,93.4,58.2,2.596,8.506
16/07/2013,1.54,0.88,0,16.34,8.16,93.2,53.2,2.842,10.372
17/07/2013,2.02,1.88,0,15.84,8.74,89.2,47.2,4.042,9.11
18/07/2013,1.4,5.6,0,13.66,7.48,96.6,51.6,3.092,8.022
19/07/2013,1.32,3.16,0,14.32,6.92,93.8,56.6,2.682,9.116
20/07/2013,1.3,3.64,0,14.22,6.7,94.2,55.4,2.356,9.124
21/07/2013,1.36,1.8,0,15.32,5.94,94.8,54.4,2.032,11.266
22/07/2013,1.24,2.64,0,15.52,4.64,95.2,55.4,1.724,9.582
23/07/2013,1.64,1.24,0,15.66,7.24,92.6,47.4,2.448,7.854
24/07/2013,1.64,3.72,0,15.5,8.54,90.2,54.2,3.066,9.42
25/07/2013,1.7,1.48,0,15.5,8.68,91.6,54.8,3.438,10.272
26/07/2013,1.72,1.24,0,16.42,7.96,93.6,46.4,2.696,10.814
27/07/2013,2.4,6.24,0,16.9,8.1,80.4,40,3.648,10.266
28/07/2013,2.32,0.24,0,18.42,9.86,88.2,42.8,3.27,11.388
29/07/2013,1.74,2.12,0,16.4,10.66,91.6,57.6,3.354,7.8
30/07/2013,0,2.04,0,16.64,10.26,93.2,53.2,2.882,0
31/07/2013,0,0.32,0,16.5,8.88,90.8,50,3.454,0
1/08/2013,2.3,5.84,0,16.16,7.04,90.8,39,3.96,12.292
2/08/2013,2.06,1.52,0,16.8,7.34,91.6,41.6,3.01,11.162
3/08/2013,1.68,0.52,0,16.5,7.24,92.6,49.8,2.58,8.856
4/08/2013,0,4.16,0,14.74,7.42,95.4,54.6,2.594,0
5/08/2013,1.86,4.8,0,16.66,7.44,94.4,52,3.136,11.402
6/08/2013,1.56,1.76,0,15.04,7.12,95.6,53.8,2.292,10.844
7/08/2013,2.06,2.44,0,16.2,7.96,92.4,47.2,3.134,12.414
8/08/2013,1.8,1.2,0,15.74,7.26,94.4,43,2.886,8.942
9/08/2013,0,3.6,0,15.86,8.44,94,48.4,2.47,0
10/08/2013,1.76,1.12,0,16.08,6.7,94.8,46.2,2.19,11.086
11/08/2013,2,2.16,0,15.92,7.64,92,44.8,2.856,11.074
12/08/2013,1.98,0.36,0,15.18,7.4,92.2,44.6,2.846,12.826
13/08/2013,2.32,1,0,16.72,8.02,87.6,46,3.564,12.826
14/08/2013,2.24,2.12,0,16.6,9.52,91.4,45.4,3.74,11.864
15/08/2013,2.38,1.6,0,16.58,9.54,89.2,42.8,3.766,10.882
16/08/2013,2.18,3.32,0,15.82,10.22,93.4,46.4,4.348,7.052
17/08/2013,2.48,11,0,15.26,7.92,89.2,46.6,5.064,12.626
18/08/2013,2.14,2.6,0,16.1,8.16,92.6,54.8,4.37,10.63
19/08/2013,2.02,2.52,0,14.94,8.06,92,50.4,3.348,12.136
20/08/2013,2.22,1.16,0,16.02,7.34,90.4,45.8,3.008,13.036
21/08/2013,2.24,2.92,0,16.84,8.32,90.8,46.4,3.012,12.514
22/08/2013,2.96,2,0,19.2,8.04,82.4,37.6,3.486,13.57
23/08/2013,2.52,3.48,0,16.76,10.88,88.8,48.6,4.502,12.24
24/08/2013,2.34,3.08,0,16.28,7.96,92.6,46.8,3.55,12.87
25/08/2013,0,1.08,0,0,8.42,94.2,50.8,3.012,13.1
26/08/2013,2.22,0,0,17.08,7.08,94.2,42.6,2.558,14.54
27/08/2013,2.74,0.24,0,19.34,7.5,91.2,39.4,2.62,15.892
28/08/2013,2.64,0.16,0,19.56,8.38,92.2,39,2.264,14.702
29/08/2013,2.56,0.76,0,18.74,9.82,93.8,42.2,3.29,14.084
30/08/2013,0,1.36,0,19.06,8.12,90.2,37.6,3.002,0
31/08/2013,0,0.04,0,20.58,10.18,85.8,36.2,3.144,0
1/09/2013,3.22,1.56,0,20.16,11.42,83.8,39.4,2.98,15.362
2/09/2013,3.64,1.32,0,21.36,10.62,76.8,31.6,3.004,17.488
3/09/2013,3.6,0.12,0,22.48,11.82,79.2,31.6,3.662,11.72
